"","State","CMS.Certification.Number..CCN..","Provider.Name","Address","City","Zip","Phone","Type.of.Ownership","Offers.Nursing.Care.Services","Offers.Physical.Therapy.Services","Offers.Occupational.Therapy.Services","Offers.Speech.Pathology.Services","Offers.Medical.Social.Services","Offers.Home.Health.Aide.Services","Date.Certified","Quality.of.Patient.Care.Star.Rating","How.often.the.home.health.team.began.their.patients..care.in.a.timely.manner","How.often.the.home.health.team.taught.patients..or.their.family.caregivers..about.their.drugs","How.often.the.home.health.team.checked.patients..risk.of.falling","How.often.the.home.health.team.checked.patients.for.depression","How.often.the.home.health.team.determined.whether.patients.received.a.flu.shot.for.the.currnet.flu.season","How.often.the.home.health.team.made.sure.that.their.patients.have.received.a.pneumococcal.vaccine..pneumonia.shot..","With.diabetes..how.often.the.home.health.team.got.doctor.s.orders..gave.foot.care..and.taught.patients.about.foot.care","How.often.patients.got.better.at.walking.or.moving.around","How.often.patients.got.better.at.getting.in.and.out.of.bed","How.often.patients.got.better.at.bathing","How.often.patients..breathing.improved","How.often.patients..wounds.improved.or.healed.after.an.operation","How.often.patients.got.better.at.taking.their.drugs.correctly.by.mouth","How.often.home.health.patients.had.to.be.admitted.to.the.hospital","How.often.patients.receiving.home.health.care.needed.urgent..unplanned.care.in.the.ER.without.being.admitted","Changes.in.Skin.Integrity.Post.Acute.Care..Pressure.Ulcer.Injury","How.often.physician.recommended.actions.to.address.medication.issues.were.completely.timely","DTC.Numerator","DTC.Denominator","DTC.Observed.Rate","DTC.Risk.Standardized.Rate","DTC.Risk.Standardized.Rate..Lower.Limit.","DTC.Risk.Standardized.Rate..Upper.Limit.","DTC.Performance.Categorization","PPR.Numerator","PPR.Denominator","PPR.Observed.Rate","PPR.Risk.Standardized.Rate","PPR.Risk.Standardized.Rate..Lower.Limit.","PPR.Risk.Standardized.Rate..Upper.Limit.","PPR.Performance.Categorization","How.much.Medicare.spends.on.an.episode.of.care.at.this.agency..compared.to.Medicare.spending.across.all.agencies.nationally","No..of.episodes.to.calc.how.much.Medicare.spends.per.episode.of.care.at.agency..compared.to.spending.at.all.agencies..national."
"1","AL","017000","ALABAMA DEPARTMENT OF PUBLIC HEALTH HOME CARE","201 MONROE STREET, THE RSA TOWER,  SUITE 1200","MONTGOMERY",36104,3342065341,"Government - State/ County","Yes","Yes","Yes","Yes","Yes","Yes",1966-07-01,"4.0",93.4,98.8,99.4,95.4,55.3,62.2,92.6,86.3,84.6,86.6,81.4,97,78.9,14.4,15.8,0,91.6,845,"1066.0","79.27","88.24","85.77","90.90","Better Than National Rate","16.0","434.0","3.69","3.34","2.50","4.39","Same As National Rate","0.89",2130
"2","AL","017009","ENCOMPASS HEALTH HOME HEALTH","2970 LORNA ROAD","BIRMINGHAM",35216,2058242680,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1973-01-18,"3.5",97.1,99.6,99.9,99.5,75.4,80.5,98.7,83.2,80.2,83.4,82.1,96.2,79.4,16,12.1,0,98.1,6741,"8969.0","75.16","81.10","80.10","82.27","Better Than National Rate","208.0","7190.0","2.89","2.95","2.60","3.31","Better Than National Rate","0.99",19072
"3","AL","017013","KINDRED AT HOME","1239 RUCKER BLVD","ENTERPRISE",36330,3343470234,"Proprietary","Yes","Yes","Yes","No","No","Yes",1975-07-24,"4.0",99.8,99.8,100,99.6,75,73.2,99.2,80.8,79.2,84.2,84.8,95.3,73.7,15.4,13.7,0.11,91.9,609,"794.0","76.70","79.59","76.48","82.71","Same As National Rate","15.0","530.0","2.83","3.62","2.67","4.75","Same As National Rate","1.08",1734
"4","AL","017014","AMEDISYS HOME HEALTH","68278 MAIN STREET","BLOUNTSVILLE",35031,8664864919,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1975-09-04,"4.5",99.6,99,99.8,84.1,67.3,84.2,95.2,82.8,82,90.2,89.2,90.8,83.5,11,16.4,0.1,96.8,370,"474.0","78.06","83.12","79.41","86.89","Better Than National Rate","14.0","345.0","4.06","3.56","2.62","4.84","Same As National Rate","0.98",882
"5","AL","017016","SOUTHEAST ALABAMA HOMECARE","804 GLOVER AVENUE","ENTERPRISE",36330,3343474800,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1976-06-09,"4.5",99.4,100,100,100,85.7,81.8,100,85.1,87.2,88,92.3,98.4,84,15.7,16.9,0.06,96,592,"730.0","81.10","84.63","81.94","87.71","Better Than National Rate","12.0","424.0","2.83","3.34","2.48","4.54","Same As National Rate","0.99",1187
"6","AL","017018","KINDRED AT HOME","3225 RAINBOW STREET, SUITE 256","RAINBOW CITY",35906,2564421138,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1977-01-01,"4.0",99.7,99.3,99.9,98.2,86.7,86.5,96.8,84.3,81.3,86.9,85.7,94.1,80.7,16.7,9.1,0.1,94.8,1176,"1732.0","67.90","73.41","71.27","76.00","Worse Than National Rate","26.0","774.0","3.36","3.39","2.64","4.42","Same As National Rate","1.14",4466
"7","AL","017020","AMEDISYS HOME HEALTH CARE","273 AZALEA ROAD, SUITE 204, BLDG 2","MOBILE",36609,2513800492,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1977-05-23,"4.5",99.7,100,99.9,88.8,89.7,83.6,99.9,92,88.9,91.1,96.1,93.9,87.5,19.2,10.5,0.16,98.2,884,"1222.0","72.34","77.89","75.46","80.47","Same As National Rate","29.0","920.0","3.15","3.35","2.63","4.25","Same As National Rate","1.00",2323
"8","AL","017024","SOUTHEAST ALABAMA HOMECARE","1435 ROSS CLARK CIRCLE, SUITE 2","DOTHAN",36301,3347940591,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1978-06-01,"5.0",99.4,100,100,99.8,71.2,72.8,99.8,89.6,87.7,91.7,93.7,92.9,83.6,13.9,12.8,0,98.2,1130,"1398.0","80.83","84.95","82.87","87.17","Better Than National Rate","27.0","1014.0","2.66","3.15","2.44","4.12","Same As National Rate","1.00",2141
"9","AL","017025","SAAD HEALTHCARE","1515 UNIVERSITY BLVD, SOUTH","MOBILE",36609,2513439600,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1978-12-28,"4.5",99.8,100,100,100,72.9,75.3,99.9,86.4,87.2,87.7,96.8,99.4,90.5,17.6,13.2,0.1,99.3,1040,"1422.0","73.14","77.37","75.09","79.87","Same As National Rate","26.0","989.0","2.63","3.29","2.57","4.14","Same As National Rate","0.96",3095
"10","AL","017026","KINDRED AT HOME","2100 RIVERCHASE CTR, STE 450","HOOVER",35244,2057397800,"Proprietary","Yes","Yes","Yes","Yes","Yes","Yes",1979-03-29,"3.5",99.4,99.3,100,95.6,85,87.9,97.5,81,77.6,84.7,83,94.3,73.6,18.6,12.3,0,70.6,739,"1013.0","72.95","79.46","76.73","82.41","Same As National Rate","33.0","732.0","4.51","3.84","2.96","4.91","Same As National Rate","1.11",1890
