                  mean  se_mean     sd     2.5%      50%    97.5%    n_eff  Rhat
theta[1]    161.480   0.571 23.916  116.612  160.906  209.685  1752 1.000
theta[2]    181.333   0.605 24.622  135.507  180.792  230.653  1654 1.000
theta[3]    193.909   0.627 25.056  147.401  193.300  244.058  1595 1.000
a[1]          0.007   0.012  0.635   -1.259   -0.001    1.399          2734 1.000
a[2]         -0.090   0.010  0.543   -1.320   -0.030    0.957          2805 1.000
a[3]          0.203   0.010  0.495   -0.707    0.114    1.334           2320 1.000
a[4]          0.381   0.015  0.439   -0.314    0.322    1.380            861 1.000
a[5]         -0.190   0.011  0.416   -1.152   -0.122    0.562       1549 1.000
a[6]         -0.084   0.009  0.442   -1.027   -0.037    0.804        2374 1.001
a[7]         -0.274   0.011  0.375   -1.129   -0.216    0.389     1103 1.002
